Especie,Tratamiento,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15
V. farnesiana,C,6,5.5,6.5,7,9,10.5,13,15,15.5,16,16,16,19,19,19.5
V. farnesiana,C,4,7,9.5,12,16,21,27,32.5,37.5,42,45,45,45.5,46,59
V. farnesiana,C,4,4,,,,,,,,,,,,,
V. farnesiana,C,5.5,6,7,8,9.5,12,15.5,19.5,26,32,35,34.5,31,31,33
R. communis,C,4,5.5,5.5,6.5,7.5,9.5,10.5,10.5,12.5,13,15,15.5,17.5,18,18.5
R. communis,C,4.5,,,,,,,,,,,,,,
R. communis,C,2.5,3.5,3.5,,,,,,,,,,,,
R. communis,C,3,4,4,4.5,5.5,7,8,9,10.5,12,14,14,14,14.5,15.5
R. communis,C,1.5,3,3.5,4.5,4.5,7,7.5,8.5,9.5,11,12.5,13,13,14,15
V. farnesiana,C,2.5,4,5,6.5,8,10.5,13.5,15.5,21.5,26,39,39,39,42,42
V. farnesiana,C,3,6.5,6.5,7,9,11.5,15,18.5,23.5,30.5,37.5,45,46.5,48,49.5
V. farnesiana,C,8,8.5,14,21,28,36,42,46,55,57.5,57,57.5,57.5,57.5,57.5
V. farnesiana,C,4.5,4.5,4.5,5,6.5,8,10.5,13.5,18,22.5,29,36.5,43,43,43
R. communis,C,7.5,6.5,7.5,8.5,8.5,9,9,10,11.5,12,13,14,16,17.5,18
R. communis,C,6,6,6.5,7.5,9,10.5,10.5,12,13.5,15,20,23,23,23,24.5
R. communis,C,4,5.5,6,6.5,7.5,9,9.5,10.5,12,13,16,16,16.5,17.5,18
R. communis,C,3.5,5.5,5.5,7,7.5,9,10.5,12,14,16,22,22,22,22,24.5
R. communis,C,3.5,2.5,3,4.5,6,8,9.5,11,13,14.5,15.5,16,17.5,18,19
V. farnesiana,C,2.5,4.5,5,5,5,7.5,11.5,16.5,19.5,23,29,29,28,28,37
V. farnesiana,C,5.5,6,6.5,7,8.5,10,13.5,17.5,20,24.5,31,31.5,31.5,32,33
V. farnesiana,J,5.5,8,8,9.5,9.5,10.5,10.5,10.5,10.5,10.5,11.5,11.5,10,10,10
R. communis,J,2,3,3,3,4,4,4,5,5,5,6,6,6,6.5,6.5
R. communis,J,2,3,3,3,3.5,3.5,3.5,4,4,4.5,5,5,5,6,6
R. communis,J,2.5,3,3.5,3.5,3.5,3.5,,,,,,,,,
R. communis,J,2,2,2,,,,,,,,,,,,
R. communis,J,4,3.5,3.5,,,,,,,,,,,,
R. communis,J,1,1.5,2.5,,,,,,,,,,,,
V. farnesiana,J,6,7,7,7,7,7,7,7,7,7,6,6,5.5,6,6
V. farnesiana,J,3.5,3.5,3.5,,,,,,,,,,,,
V. farnesiana,J,7,6.5,7,8,8.5,9,9.5,10.5,10.5,11.5,19.5,12,11,11,11.5
V. farnesiana,J,4.5,5,5,,,,,,,,,,,,
R. communis,J,3.5,3,2.5,3,,,,,,,,,,,
R. communis,J,2,3,3,3,3,3.5,3.5,4,4.5,4.5,5,5,5.5,6.5,6.5
R. communis,J,1.5,2,2,,,,,,,,,,,,
V. farnesiana,J,5,6.5,6.5,7,7.5,8,8.5,9.5,9.5,9.5,10.5,10.5,11,11.5,11
R. communis,J,1.5,1.5,,,,,,,,,,,,,
V. farnesiana,J,3,3.5,3.5,,,,,,,,,,,,
V. farnesiana,J,5.5,8,8,9.5,9.5,10,10.5,11.5,11.5,12,13.5,13.5,14,14,14
V. farnesiana,J,8.5,8,8,8.5,8.5,8.5,9,9,9,9.5,9,9.5,9.5,10,11
V. farnesiana,J,2,2,,,,,,,,,,,,,
V. farnesiana,JI,2,2.5,2.5,2.5,,,,,,,,,,,
V. farnesiana,JI,5.5,6,6.5,7,7,8.5,9,9,10,10,10,11,10,10.5,10.5
V. farnesiana,JI,3.5,6.5,6.5,7,7,7.5,7.5,8,8.5,8.5,9,9,8.5,9,10
V. farnesiana,JI,4,4,,,,,,,,,,,,,
V. farnesiana,JI,5,7.5,8,8.5,9,9.5,10,10.5,11,11.5,11.5,11.5,10.5,10.5,10
R. communis,JI,3.5,3.5,,,,,,,,,,,,,
R. communis,JI,2.5,2.5,,,,,,,,,,,,,
R. communis,JI,3.5,4,4,4,4,4,4,4.5,5,5,5,5,5,5,5.5
R. communis,JI,2,2,,,,,,,,,,,,,
R. communis,JI,0,0,,,,,,,,,,,,,
V. farnesiana,JI,4.5,4.5,,,,,,,,,,,,,
V. farnesiana,JI,4,4.5,5,5,5.5,5.5,6.5,6.5,7,7,7.5,7.5,7.5,7.5,7.5
V. farnesiana,JI,4,4,,,,,,,,,,,,,
V. farnesiana,JI,2,2.5,,,,,,,,,,,,,
V. farnesiana,JI,5,5,,,,,,,,,,,,,
R. communis,JI,4,4,,,,,,,,,,,,,
R. communis,JI,2,2,2,,,,,,,,,,,,
R. communis,JI,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,3.5,3.5,3.5,3.5,4,4,4
R. communis,JI,1.5,3,3,3,3.5,4,3.5,3.5,4,4,4,4,,,
R. communis,JI,2,2.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4.5,4.5,4.5
V. farnesiana,CI,6,10,13.5,19.5,22.5,32,38,42.5,48,48,55,55,55,55,55
V. farnesiana,CI,6,10.5,13.5,18,22,30,37,43,53.5,61,61,61,61,61,61
V. farnesiana,CI,9,12.5,14,16,18,23,26.5,30,32,32,32,32,32,32.5,42
V. farnesiana,CI,7.5,10.5,13.5,17,22,28,33.5,38,45,48,48,48,48,48,48
R. communis,CI,7,8,8,8,9,9.5,9.5,10.5,11,11,12,12,10.5,11,11
V. farnesiana,CI,3.5,4.5,4.5,4.5,,,,,,,,,,,
R. communis,CI,6.5,6.5,7.5,8.5,9.5,10,10,10.5,10.5,11.5,14.5,16,16,16,16
R. communis,CI,5,7,7,8.5,9,9.5,10,10.5,13,14,18,20,20,21,21.5
R. communis,CI,6.5,6.5,7,7.5,7.5,8,8,10.5,12.5,14,18.5,19,20,21,21
R. communis,CI,6.5,9,9.5,10,10,9.5,12,13,14,15.5,18.5,19,20.5,21,21.5
V. farnesiana,CI,10,13.5,15.5,16.5,20.5,27,33,38,46.5,47,47,47,47.5,52.5,53
V. farnesiana,CI,6.5,9,9.5,12,17,23,30,35,41.5,41.5,48.5,49,49.5,52.5,54
V. farnesiana,CI,7.5,11.5,15,21.5,28.5,38,46,51,60.5,62,62,70,71,71,72
V. farnesiana,CI,9,9.5,9.5,12,14.5,20,26,33,42,42,42,45,48,49.5,49.5
V. farnesiana,CI,7.5,8.5,8.5,10,10,10.5,12.5,17.5,24,26.5,30,30,30,30,42
R. communis,CI,5.5,5.5,,,,,,,,,,,,,
R. communis,CI,5,6,6.5,6.5,6.5,7,7,7.5,9.5,10.5,14.5,15.5,16.5,16.5,16.5
R. communis,CI,4,4.5,5,5,5,7,7.5,8,9,11,16,16,17,17.5,17.5
R. communis,CI,4.5,6,6,8,9,11,11.5,12.5,15,15.5,19,19.5,21.5,22.5,23
R. communis,CI,6,7,7,7,7,7.5,6,,,,,,,,
V. farnesiana,SN,16.5,20,23.5,29.5,35,42.5,51,54.5,61,64,66,66.5,66.5,66.5,66.5
V. farnesiana,SN,15,20.5,27,34,41,48,54.5,60,65.5,68,74,74.5,74.5,76,76
V. farnesiana,SN,11,17,21,27.5,32,38,44.5,48.5,50,52.5,53,53,53,55.5,56
V. farnesiana,SN,17.5,25,31,41.5,49,58.5,65,69.5,69.5,69.5,69.5,69.5,69.5,72,73
V. farnesiana,SN,9,14.5,17.5,23.5,27,34,41.5,49,53,53.5,53.5,53.5,54.5,54.5,54.5
R. communis,SN,4.5,5,5,5,,,,,,,,,,,
R. communis,SN,4,5.5,6,6,6,7,7.5,9.5,10.5,13,14,14.5,15.5,16,16
R. communis,SN,3,5,5.5,5.5,5.5,5.5,7,7,8.5,9.5,11.5,12,12,12,14.5
V. farnesiana,SN,6.5,9.5,10.5,12,14.5,17,19,21.5,25.5,26,31,36,36,36,36
R. communis,SN,2.5,3.5,4,4,5,6,7,8,9,9.5,12.5,12.5,13,13.5,15
R. communis,SN,4.5,5,5,5,5.5,6.5,7,7.5,9,9.5,12,12,12.5,13,13
V. farnesiana,SN,8,11.5,14,17.5,20.5,26,33.5,39,46,49,55,56,56.5,58,59
R. communis,SN,5.5,6.5,7.5,8.5,9,10,11,11.5,11.5,12.5,15,15.5,16,16.5,16.5
R. communis,SN,4.5,5,5.5,7,7,9,9.5,11,12,13,17.5,18,18,19,19
R. communis,SN,2,3.5,5,5,6,7,7.5,8.5,9.5,10.5,11.5,12.5,13,14,14
V. farnesiana,SN,4,7.5,10,14,18.5,25,31.5,37.5,42,43,49.5,57.5,58,58.5,61
V. farnesiana,SN,11.5,17.5,25,32.5,38,45,49.5,52.5,57,62,62,62,63,63,64
R. communis,SN,3.5,3.5,3.5,4,4.5,6,6.5,7,9,9.5,10.5,10.5,11,11.5,12.5
V. farnesiana,SN,6.5,12.5,17.5,25.5,31,36,38.5,43.5,47,48,53,61,61,61,65
R. communis,SN,3.5,4.5,4.5,5,6,7,7.5,8,9.5,10,11.5,12,12,12.5,13
